Compound,A,B,Lowest distortion,v(A),v(B),r(AXII)(Å),r(AVI)(Å),r(BVI)(Å),EN(A),EN(B),l(A-O)(Å),l(B-O)(Å),ΔENR,tG,τ,μ,In literature
OsGdO3,Os,Gd,cubic,element not in BV,element not in BV,0.57,0.57,0.94,2.2,1.2,2.30010892,2.28415608,-2.027142857,0.595299299,-,0.671428571,FALSE
SmNdO3,Sm,Nd,cubic,not balanced,not balanced,1.24,0.96,0.98,1.17,1.14,2.611965458,2.320966993,-3.017071429,0.78435374,-,0.7,FALSE
OsTlO3,Os,Tl,cubic,element not in BV,element not in BV,0.57,0.57,1.2,2.2,1.62,2.30010892,2.297683747,-2.376214286,0.535769369,-,0.857142857,FALSE
ErTcO3,Er,Tc,cubic,element not in BV,element not in BV,1.06,0.89,0.6,1.24,1.9,2.536253277,0,-1.791571429,0.869741341,-,0.428571429,FALSE
BaPrO3,Ba,Pr,orthorhombic,2,4,1.61,1.35,0.85,0.89,1.13,2.942998888,2.340791612,-3.146642857,0.945951738,3.577731009,0.607142857,TRUE
LuWO3,Lu,W,cubic,3,3,1.03,0.86,0.66,1.27,2.36,2.500929926,1.7456,-1.719642857,0.834111397,3.640396778,0.471428571,FALSE
GaIrO3,Ga,Ir,cubic,1,5,0.62,0.62,0.57,1.81,2.2,2.233187797,2.009082787,-1.306678571,0.725053654,14.39237933,0.407142857,FALSE
FeGdO3,Fe,Gd,orthorhombic,3,3,0.78,0.67,0.94,1.83,1.2,2.290643632,2.28415608,-2.319357143,0.6587576,-20.85227323,0.671428571,FALSE
TlMnO3,Tl,Mn,orthorhombic,3,3,0.98,1.2,0.65,1.62,1.55,2.531967494,2.16999357,-1.882571429,0.820933726,4.170151437,0.464285714,FALSE
NdLuO3,Nd,Lu,orthorhombic,3,3,1.27,0.98,0.86,1.14,1.27,2.617633987,2.209114963,-2.74725,0.835387215,3.992146004,0.614285714,FALSE
CuBaO3,Cu,Ba,orthorhombic,not balanced,not balanced,0.68,0.68,1.35,1.9,0.89,2.301547692,2.64009357,-3.020357143,0.534829856,-,0.964285714,FALSE
BeYO3,Be,Y,cubic,not balanced,not balanced,0.45,0.45,0.9,1.57,1.22,2.178341873,2.235124352,-2.063571429,0.568759802,-,0.642857143,FALSE
ReNpO3,Re,Np,cubic,element not in BV,element not in BV,0.57,0.57,0.86,1.9,1.36,2.33939643,0,-1.953,0.61637184,-,0.614285714,FALSE
